Date,Year,MonthNumberOfYear,WeekNumberOfYear,DayNumberOfMonth,WeekdayLongName,QuarterNumberOfYear,MonthLongName
7/1/2016 0:00,2016,7,27,1,Friday,3,July
7/2/2016 0:00,2016,7,27,2,Saturday,3,July
7/3/2016 0:00,2016,7,28,3,Sunday,3,July
7/4/2016 0:00,2016,7,28,4,Monday,3,July
7/5/2016 0:00,2016,7,28,5,Tuesday,3,July
7/6/2016 0:00,2016,7,28,6,Wednesday,3,July
7/7/2016 0:00,2016,7,28,7,Thursday,3,July
7/8/2016 0:00,2016,7,28,8,Friday,3,July
7/9/2016 0:00,2016,7,28,9,Saturday,3,July
7/10/2016 0:00,2016,7,29,10,Sunday,3,July
7/11/2016 0:00,2016,7,29,11,Monday,3,July
7/12/2016 0:00,2016,7,29,12,Tuesday,3,July
7/13/2016 0:00,2016,7,29,13,Wednesday,3,July
7/14/2016 0:00,2016,7,29,14,Thursday,3,July
7/15/2016 0:00,2016,7,29,15,Friday,3,July
7/16/2016 0:00,2016,7,29,16,Saturday,3,July
7/17/2016 0:00,2016,7,30,17,Sunday,3,July
7/18/2016 0:00,2016,7,30,18,Monday,3,July
7/19/2016 0:00,2016,7,30,19,Tuesday,3,July
7/20/2016 0:00,2016,7,30,20,Wednesday,3,July
7/21/2016 0:00,2016,7,30,21,Thursday,3,July
7/22/2016 0:00,2016,7,30,22,Friday,3,July
7/23/2016 0:00,2016,7,30,23,Saturday,3,July
7/24/2016 0:00,2016,7,31,24,Sunday,3,July
7/25/2016 0:00,2016,7,31,25,Monday,3,July
7/26/2016 0:00,2016,7,31,26,Tuesday,3,July
7/27/2016 0:00,2016,7,31,27,Wednesday,3,July
7/28/2016 0:00,2016,7,31,28,Thursday,3,July
7/29/2016 0:00,2016,7,31,29,Friday,3,July
7/30/2016 0:00,2016,7,31,30,Saturday,3,July
7/31/2016 0:00,2016,7,32,31,Sunday,3,July
8/1/2016 0:00,2016,8,32,1,Monday,3,August
8/2/2016 0:00,2016,8,32,2,Tuesday,3,August
8/3/2016 0:00,2016,8,32,3,Wednesday,3,August
8/4/2016 0:00,2016,8,32,4,Thursday,3,August
8/5/2016 0:00,2016,8,32,5,Friday,3,August
8/6/2016 0:00,2016,8,32,6,Saturday,3,August
8/7/2016 0:00,2016,8,33,7,Sunday,3,August
8/8/2016 0:00,2016,8,33,8,Monday,3,August
8/9/2016 0:00,2016,8,33,9,Tuesday,3,August
8/10/2016 0:00,2016,8,33,10,Wednesday,3,August
8/11/2016 0:00,2016,8,33,11,Thursday,3,August
8/12/2016 0:00,2016,8,33,12,Friday,3,August
8/13/2016 0:00,2016,8,33,13,Saturday,3,August
8/14/2016 0:00,2016,8,34,14,Sunday,3,August
8/15/2016 0:00,2016,8,34,15,Monday,3,August
8/16/2016 0:00,2016,8,34,16,Tuesday,3,August
8/17/2016 0:00,2016,8,34,17,Wednesday,3,August
8/18/2016 0:00,2016,8,34,18,Thursday,3,August
8/19/2016 0:00,2016,8,34,19,Friday,3,August
8/20/2016 0:00,2016,8,34,20,Saturday,3,August
8/21/2016 0:00,2016,8,35,21,Sunday,3,August
8/22/2016 0:00,2016,8,35,22,Monday,3,August
8/23/2016 0:00,2016,8,35,23,Tuesday,3,August
8/24/2016 0:00,2016,8,35,24,Wednesday,3,August
8/25/2016 0:00,2016,8,35,25,Thursday,3,August
8/26/2016 0:00,2016,8,35,26,Friday,3,August
8/27/2016 0:00,2016,8,35,27,Saturday,3,August
8/28/2016 0:00,2016,8,36,28,Sunday,3,August
8/29/2016 0:00,2016,8,36,29,Monday,3,August
8/30/2016 0:00,2016,8,36,30,Tuesday,3,August
8/31/2016 0:00,2016,8,36,31,Wednesday,3,August
9/1/2016 0:00,2016,9,36,1,Thursday,3,September
9/2/2016 0:00,2016,9,36,2,Friday,3,September
9/3/2016 0:00,2016,9,36,3,Saturday,3,September
