ScheduledStart,ScheduledComplete,CustID,CountyID,FacilityID,ActualStart,ActualComplete
10/14/2016 0:00,10/16/2016 0:00,1286,6037,400047,10/14/2016 0:00,10/16/2016 0:00
3/15/2014 0:00,3/15/2014 0:00,3453,6037,600091,3/16/2014 0:00,3/21/2014 0:00
8/12/2014 0:00,8/15/2014 0:00,7908,6037,300105,8/12/2014 0:00,8/15/2014 0:00
12/11/2016 0:00,12/18/2016 0:00,2859,6037,100128,12/11/2016 0:00,12/18/2016 0:00
12/18/2017 0:00,12/18/2017 0:00,1708,6037,100173,12/18/2017 0:00,12/19/2017 0:00
11/25/2014 0:00,11/28/2014 0:00,5261,6037,800218,11/25/2014 0:00,11/30/2014 0:00
1/13/2018 0:00,1/15/2018 0:00,5376,6037,500225,1/13/2018 0:00,1/19/2018 0:00
1/8/2015 0:00,1/15/2015 0:00,7033,6037,300229,1/8/2015 0:00,1/15/2015 0:00
7/26/2017 0:00,7/31/2017 0:00,2552,6037,300230,8/2/2017 0:00,8/9/2017 0:00
6/2/2017 0:00,6/4/2017 0:00,6485,6037,300233,6/3/2017 0:00,6/5/2017 0:00
3/3/2015 0:00,3/6/2015 0:00,1816,6037,200257,3/3/2015 0:00,3/6/2015 0:00
5/27/2017 0:00,5/29/2017 0:00,6571,6037,600264,5/27/2017 0:00,5/29/2017 0:00
1/30/2016 0:00,2/2/2016 0:00,3705,6037,600289,1/30/2016 0:00,2/2/2016 0:00
12/9/2014 0:00,12/9/2014 0:00,4493,6037,600305,12/9/2014 0:00,12/10/2014 0:00
8/27/2014 0:00,8/29/2014 0:00,1005,6037,400348,8/27/2014 0:00,8/29/2014 0:00
2/3/2016 0:00,2/4/2016 0:00,6680,6037,800353,2/6/2016 0:00,2/7/2016 0:00
1/21/2017 0:00,1/24/2017 0:00,6218,6037,600435,1/21/2017 0:00,1/25/2017 0:00
12/26/2015 0:00,12/26/2015 0:00,1226,6037,400505,12/27/2015 0:00,12/28/2015 0:00
3/21/2014 0:00,3/22/2014 0:00,7896,6037,400514,3/21/2014 0:00,3/22/2014 0:00
12/25/2014 0:00,12/28/2014 0:00,7145,6037,800544,12/25/2014 0:00,1/4/2015 0:00
10/14/2014 0:00,10/18/2014 0:00,3204,6037,400558,10/14/2014 0:00,10/19/2014 0:00
7/10/2015 0:00,7/12/2015 0:00,5033,6037,400565,7/16/2015 0:00,7/19/2015 0:00
12/30/2017 0:00,12/30/2017 0:00,2673,6037,600598,12/30/2017 0:00,12/31/2017 0:00
7/2/2017 0:00,7/9/2017 0:00,4700,6037,400601,7/2/2017 0:00,7/10/2017 0:00
6/7/2016 0:00,6/7/2016 0:00,1966,6037,600608,6/7/2016 0:00,6/8/2016 0:00
12/15/2017 0:00,12/21/2017 0:00,5013,6037,800627,12/15/2017 0:00,12/22/2017 0:00
5/9/2016 0:00,5/14/2016 0:00,1748,6037,500637,5/9/2016 0:00,5/14/2016 0:00
5/11/2015 0:00,5/11/2015 0:00,1539,6037,400647,5/11/2015 0:00,5/12/2015 0:00
3/2/2014 0:00,3/6/2014 0:00,4323,6037,500662,3/2/2014 0:00,3/6/2014 0:00
11/22/2016 0:00,11/28/2016 0:00,6782,6037,400684,11/27/2016 0:00,12/3/2016 0:00
3/3/2016 0:00,3/10/2016 0:00,1201,6037,400712,3/3/2016 0:00,3/10/2016 0:00
9/13/2016 0:00,9/17/2016 0:00,7052,6037,300720,9/13/2016 0:00,9/17/2016 0:00
9/20/2017 0:00,9/23/2017 0:00,7561,6037,400846,9/20/2017 0:00,9/28/2017 0:00
5/6/2016 0:00,5/13/2016 0:00,6560,6037,200902,5/6/2016 0:00,5/13/2016 0:00
10/2/2015 0:00,10/3/2015 0:00,5117,6037,800938,10/2/2015 0:00,10/3/2015 0:00
7/13/2016 0:00,7/19/2016 0:00,6951,6037,600962,7/17/2016 0:00,7/31/2016 0:00
5/29/2016 0:00,6/5/2016 0:00,2497,6037,700984,5/29/2016 0:00,6/5/2016 0:00
10/2/2017 0:00,10/7/2017 0:00,6051,6037,500991,10/2/2017 0:00,10/7/2017 0:00
5/13/2016 0:00,5/17/2016 0:00,2126,6037,201078,5/13/2016 0:00,5/17/2016 0:00
8/9/2015 0:00,8/9/2015 0:00,3359,6037,101087,8/9/2015 0:00,8/14/2015 0:00
5/22/2017 0:00,5/25/2017 0:00,4866,6037,101103,5/22/2017 0:00,5/25/2017 0:00
7/2/2016 0:00,7/7/2016 0:00,4797,6037,601322,7/3/2016 0:00,7/8/2016 0:00
10/29/2014 0:00,11/5/2014 0:00,7943,6037,801370,10/29/2014 0:00,11/10/2014 0:00
11/14/2017 0:00,11/15/2017 0:00,1050,6037,101380,11/14/2017 0:00,11/15/2017 0:00
2/22/2018 0:00,2/24/2018 0:00,2434,6037,201463,3/1/2018 0:00,3/3/2018 0:00
9/7/2017 0:00,9/12/2017 0:00,4716,6037,801466,9/7/2017 0:00,9/12/2017 0:00
11/2/2016 0:00,11/5/2016 0:00,4375,6037,101499,11/2/2016 0:00,11/7/2016 0:00
4/29/2017 0:00,5/1/2017 0:00,7157,6037,201509,4/29/2017 0:00,5/1/2017 0:00
1/16/2016 0:00,1/17/2016 0:00,3487,6037,501517,1/16/2016 0:00,1/17/2016 0:00
11/5/2017 0:00,11/12/2017 0:00,7290,6037,101523,11/5/2017 0:00,11/16/2017 0:00
5/22/2015 0:00,5/29/2015 0:00,6646,6037,801566,5/22/2015 0:00,5/29/2015 0:00
10/6/2014 0:00,10/11/2014 0:00,4789,6037,701597,10/7/2014 0:00,10/13/2014 0:00
9/28/2016 0:00,10/2/2016 0:00,8347,6037,601658,10/1/2016 0:00,10/5/2016 0:00
2/13/2016 0:00,2/18/2016 0:00,5400,6037,601739,2/13/2016 0:00,2/20/2016 0:00
9/20/2014 0:00,9/21/2014 0:00,8335,6037,401740,9/20/2014 0:00,9/21/2014 0:00
6/30/2014 0:00,7/3/2014 0:00,5142,6037,501776,6/30/2014 0:00,7/3/2014 0:00
6/14/2018 0:00,6/17/2018 0:00,2832,6037,801780,6/14/2018 0:00,6/17/2018 0:00
11/21/2015 0:00,11/24/2015 0:00,5809,6037,201806,11/21/2015 0:00,11/24/2015 0:00
2/20/2015 0:00,2/25/2015 0:00,5628,6037,601816,2/26/2015 0:00,3/9/2015 0:00
5/12/2015 0:00,5/16/2015 0:00,6393,6037,101900,5/12/2015 0:00,5/24/2015 0:00
6/25/2015 0:00,6/26/2015 0:00,4302,6037,301926,6/25/2015 0:00,6/27/2015 0:00
12/17/2016 0:00,12/21/2016 0:00,6383,6037,801970,12/17/2016 0:00,12/21/2016 0:00
7/24/2016 0:00,7/27/2016 0:00,6844,6037,301996,7/24/2016 0:00,7/27/2016 0:00
6/7/2017 0:00,6/13/2017 0:00,5762,6037,302000,6/7/2017 0:00,6/16/2017 0:00
12/10/2017 0:00,12/11/2017 0:00,5032,6037,302006,12/10/2017 0:00,12/11/2017 0:00
12/5/2015 0:00,12/10/2015 0:00,3909,6037,702100,12/5/2015 0:00,12/10/2015 0:00
4/22/2016 0:00,4/29/2016 0:00,2211,6037,602184,4/22/2016 0:00,4/29/2016 0:00
5/21/2015 0:00,5/22/2015 0:00,4331,6037,802189,5/21/2015 0:00,5/23/2015 0:00
12/28/2017 0:00,1/4/2018 0:00,6861,6037,802288,12/28/2017 0:00,1/4/2018 0:00
2/6/2014 0:00,2/6/2014 0:00,8228,6037,302324,2/6/2014 0:00,2/7/2014 0:00
4/10/2016 0:00,4/12/2016 0:00,7633,6037,102398,4/15/2016 0:00,4/17/2016 0:00
6/7/2014 0:00,6/7/2014 0:00,5236,6037,702449,6/7/2014 0:00,6/8/2014 0:00
8/25/2016 0:00,9/1/2016 0:00,2365,6037,802471,8/25/2016 0:00,9/2/2016 0:00
2/9/2018 0:00,2/16/2018 0:00,2379,6037,202477,2/14/2018 0:00,2/21/2018 0:00
4/3/2016 0:00,4/10/2016 0:00,2764,6037,702490,4/3/2016 0:00,4/10/2016 0:00
