CountyID,County,State,State Abbrev,Territory,Region,District
17031,Cook County,Illinois,IL,IL3,Central,Heartland
17197,Will County,Illinois,IL,IL3,Central,Heartland
17043,DuPage County,Illinois,IL,IL1,Central,Heartland
17097,Lake County,Illinois,IL,IL1,Central,Heartland
17089,Kane County,Illinois,IL,IL2,Central,Heartland
17163,St. Clair County,Illinois,IL,IL2,Central,Heartland
17111,McHenry County,Illinois,IL,IL1,Central,Heartland
17201,Winnebago County,Illinois,IL,IL3,Central,Heartland
17143,Peoria County,Illinois,IL,IL3,Central,Heartland
17119,Madison County,Illinois,IL,IL3,Central,Heartland
17113,McLean County,Illinois,IL,IL3,Central,Heartland
17167,Sangamon County,Illinois,IL,IL3,Central,Heartland
17019,Champaign County,Illinois,IL,IL1,Central,Heartland
17161,Rock Island County,Illinois,IL,IL2,Central,Heartland
17179,Tazewell County,Illinois,IL,IL2,Central,Heartland
17099,LaSalle County,Illinois,IL,IL1,Central,Heartland
17093,Kendall County,Illinois,IL,IL1,Central,Heartland
17115,Macon County,Illinois,IL,IL1,Central,Heartland
17037,DeKalb County,Illinois,IL,IL1,Central,Heartland
17183,Vermilion County,Illinois,IL,IL1,Central,Heartland
17199,Williamson County,Illinois,IL,IL3,Central,Heartland
17195,Whiteside County,Illinois,IL,IL1,Central,Heartland
17001,Adams County,Illinois,IL,IL1,Central,Heartland
17141,Ogle County,Illinois,IL,IL3,Central,Heartland
17077,Jackson County,Illinois,IL,IL2,Central,Heartland
17091,Kankakee County,Illinois,IL,IL1,Central,Heartland
17007,Boone County,Illinois,IL,IL1,Central,Heartland
17177,Stephenson County,Illinois,IL,IL2,Central,Heartland
17029,Coles County,Illinois,IL,IL1,Central,Heartland
17063,Grundy County,Illinois,IL,IL1,Central,Heartland
17203,Woodford County,Illinois,IL,IL2,Central,Heartland
17103,Lee County,Illinois,IL,IL2,Central,Heartland
17081,Jefferson County,Illinois,IL,IL2,Central,Heartland
17021,Christian County,Illinois,IL,IL3,Central,Heartland
17057,Fulton County,Illinois,IL,IL3,Central,Heartland
17117,Macoupin County,Illinois,IL,IL1,Central,Heartland
17073,Henry County,Illinois,IL,IL3,Central,Heartland
17027,Clinton County,Illinois,IL,IL2,Central,Heartland
17075,Iroquois County,Illinois,IL,IL3,Central,Heartland
17095,Knox County,Illinois,IL,IL1,Central,Heartland
17121,Marion County,Illinois,IL,IL3,Central,Heartland
17109,McDonough County,Illinois,IL,IL3,Central,Heartland
17135,Montgomery County,Illinois,IL,IL2,Central,Heartland
17165,Saline County,Illinois,IL,IL3,Central,Heartland
17041,Douglas County,Illinois,IL,IL2,Central,Heartland
17055,Franklin County,Illinois,IL,IL1,Central,Heartland
17137,Morgan County,Illinois,IL,IL1,Central,Heartland
17145,Perry County,Illinois,IL,IL2,Central,Heartland
17085,Jo Daviess County,Illinois,IL,IL2,Central,Heartland
17011,Bureau County,Illinois,IL,IL1,Central,Heartland
17107,Logan County,Illinois,IL,IL2,Central,Heartland
17105,Livingston County,Illinois,IL,IL3,Central,Heartland
17045,Edgar County,Illinois,IL,IL1,Central,Heartland
17083,Jersey County,Illinois,IL,IL1,Central,Heartland
17133,Monroe County,Illinois,IL,IL2,Central,Heartland
17033,Crawford County,Illinois,IL,IL3,Central,Heartland
17187,Warren County,Illinois,IL,IL3,Central,Heartland
17049,Effingham County,Illinois,IL,IL1,Central,Heartland
17147,Piatt County,Illinois,IL,IL3,Central,Heartland
17157,Randolph County,Illinois,IL,IL2,Central,Heartland
17139,Moultrie County,Illinois,IL,IL2,Central,Heartland
17005,Bond County,Illinois,IL,IL2,Central,Heartland
17193,White County,Illinois,IL,IL1,Central,Heartland
17067,Hancock County,Illinois,IL,IL2,Central,Heartland
17051,Fayette County,Illinois,IL,IL1,Central,Heartland
17159,Richland County,Illinois,IL,IL3,Central,Heartland
17173,Shelby County,Illinois,IL,IL1,Central,Heartland
17017,Cass County,Illinois,IL,IL2,Central,Heartland
17191,Wayne County,Illinois,IL,IL1,Central,Heartland
17149,Pike County,Illinois,IL,IL3,Central,Heartland
17181,Union County,Illinois,IL,IL3,Central,Heartland
17123,Marshall County,Illinois,IL,IL3,Central,Heartland
17061,Greene County,Illinois,IL,IL2,Central,Heartland
17025,Clay County,Illinois,IL,IL3,Central,Heartland
17039,De Witt County,Illinois,IL,IL1,Central,Heartland
17131,Mercer County,Illinois,IL,IL3,Central,Heartland
17185,Wabash County,Illinois,IL,IL2,Central,Heartland
17189,Washington County,Illinois,IL,IL2,Central,Heartland
17087,Johnson County,Illinois,IL,IL3,Central,Heartland
17079,Jasper County,Illinois,IL,IL1,Central,Heartland
17129,Menard County,Illinois,IL,IL2,Central,Heartland
17127,Massac County,Illinois,IL,IL2,Central,Heartland
17101,Lawrence County,Illinois,IL,IL3,Central,Heartland
17023,Clark County,Illinois,IL,IL3,Central,Heartland
17015,Carroll County,Illinois,IL,IL3,Central,Heartland
17125,Mason County,Illinois,IL,IL3,Central,Heartland
17009,Brown County,Illinois,IL,IL3,Central,Heartland
17053,Ford County,Illinois,IL,IL2,Central,Heartland
17171,Scott County,Illinois,IL,IL2,Central,Heartland
17003,Alexander County,Illinois,IL,IL2,Central,Heartland
17035,Cumberland County,Illinois,IL,IL3,Central,Heartland
17047,Edwards County,Illinois,IL,IL2,Central,Heartland
17071,Henderson County,Illinois,IL,IL2,Central,Heartland
17069,Hardin County,Illinois,IL,IL3,Central,Heartland
17059,Gallatin County,Illinois,IL,IL2,Central,Heartland
17065,Hamilton County,Illinois,IL,IL3,Central,Heartland
17175,Stark County,Illinois,IL,IL2,Central,Heartland
17169,Schuyler County,Illinois,IL,IL1,Central,Heartland
17153,Pulaski County,Illinois,IL,IL2,Central,Heartland
17013,Calhoun County,Illinois,IL,IL2,Central,Heartland
17155,Putnam County,Illinois,IL,IL2,Central,Heartland
17151,Pope County,Illinois,IL,IL2,Central,Heartland
18097,Marion County,Indiana,IN,IN2,Central,Heartland
18089,Lake County,Indiana,IN,IN2,Central,Heartland
18057,Hamilton County,Indiana,IN,IN2,Central,Heartland
18141,St. Joseph County,Indiana,IN,IN1,Central,Heartland
18003,Allen County,Indiana,IN,IN3,Central,Heartland
18163,Vanderburgh County,Indiana,IN,IN3,Central,Heartland
18127,Porter County,Indiana,IN,IN2,Central,Heartland
18157,Tippecanoe County,Indiana,IN,IN1,Central,Heartland
18081,Johnson County,Indiana,IN,IN2,Central,Heartland
18063,Hendricks County,Indiana,IN,IN1,Central,Heartland
18095,Madison County,Indiana,IN,IN3,Central,Heartland
18039,Elkhart County,Indiana,IN,IN2,Central,Heartland
18091,LaPorte County,Indiana,IN,IN3,Central,Heartland
18035,Delaware County,Indiana,IN,IN3,Central,Heartland
18167,Vigo County,Indiana,IN,IN3,Central,Heartland
18067,Howard County,Indiana,IN,IN1,Central,Heartland
18005,Bartholomew County,Indiana,IN,IN2,Central,Heartland
18105,Monroe County,Indiana,IN,IN3,Central,Heartland
18053,Grant County,Indiana,IN,IN2,Central,Heartland
18059,Hancock County,Indiana,IN,IN1,Central,Heartland
18019,Clark County,Indiana,IN,IN3,Central,Heartland
18173,Warrick County,Indiana,IN,IN2,Central,Heartland
18043,Floyd County,Indiana,IN,IN2,Central,Heartland
18177,Wayne County,Indiana,IN,IN2,Central,Heartland
18109,Morgan County,Indiana,IN,IN2,Central,Heartland
18093,Lawrence County,Indiana,IN,IN2,Central,Heartland
18085,Kosciusko County,Indiana,IN,IN2,Central,Heartland
18029,Dearborn County,Indiana,IN,IN3,Central,Heartland
