InquiryDate,CountyID,CustID,EstOpptySize,ResponseDate,Result,QuoteAmt,Days to Respond
11/16/2014 0:00,34025,1321,1000,11/23/2014 0:00,Lost,1138,7
10/9/2015 0:00,42101,8335,1000,10/16/2015 0:00,Lost,929,7
2/19/2016 0:00,34007,2017,1000,2/26/2016 0:00,Lost,1190,7
6/21/2015 0:00,34035,8299,1000,6/28/2015 0:00,Lost,1369,7
10/18/2016 0:00,42079,7488,1000,10/25/2016 0:00,Lost,870,7
11/30/2014 0:00,24043,5787,1000,12/7/2014 0:00,Lost,1432,7
2/5/2015 0:00,26081,2736,1000,2/12/2015 0:00,Lost,1186,7
5/4/2017 0:00,18029,6530,1000,5/11/2017 0:00,Lost,763,7
9/21/2016 0:00,26125,4714,1000,9/28/2016 0:00,Lost,1037,7
8/6/2016 0:00,18003,7472,1000,8/13/2016 0:00,Lost,1133,7
5/31/2016 0:00,55133,1690,1000,6/7/2016 0:00,Lost,1254,7
1/20/2018 0:00,39153,5986,1000,1/27/2018 0:00,Lost,747,7
10/12/2016 0:00,39099,6222,1000,10/19/2016 0:00,Lost,1161,7
2/9/2017 0:00,26163,4333,1000,2/16/2017 0:00,Lost,819,7
3/31/2017 0:00,26163,6997,1000,4/7/2017 0:00,Lost,1418,7
12/4/2015 0:00,39049,5643,1000,12/11/2015 0:00,Lost,1056,7
8/12/2016 0:00,39093,1736,1000,8/19/2016 0:00,Lost,936,7
9/4/2014 0:00,17031,2912,1000,9/11/2014 0:00,Lost,1300,7
6/27/2016 0:00,18059,3283,1000,7/4/2016 0:00,Lost,913,7
5/3/2016 0:00,26081,1574,1000,5/10/2016 0:00,Lost,723,7
11/25/2014 0:00,26161,2476,1000,12/2/2014 0:00,Lost,1152,7
4/17/2016 0:00,55095,7723,1000,4/24/2016 0:00,Lost,1182,7
11/9/2016 0:00,18059,1389,1000,11/16/2016 0:00,Lost,1495,7
12/11/2016 0:00,26049,1764,1000,12/18/2016 0:00,Lost,1178,7
8/28/2015 0:00,39113,5206,1000,9/4/2015 0:00,Lost,1031,7
4/25/2014 0:00,39093,4205,1000,5/2/2014 0:00,Lost,1029,7
1/9/2014 0:00,26049,6773,1000,1/16/2014 0:00,Lost,1251,7
11/14/2014 0:00,17123,8224,1000,11/21/2014 0:00,Lost,1342,7
12/26/2017 0:00,18095,2991,1000,1/2/2018 0:00,Lost,1479,7
7/28/2015 0:00,17143,2504,1000,8/4/2015 0:00,Lost,1377,7
3/21/2015 0:00,39171,3047,1000,3/28/2015 0:00,Lost,727,7
7/9/2014 0:00,17031,4135,1000,7/16/2014 0:00,Lost,786,7
6/20/2017 0:00,39093,4659,1000,6/27/2017 0:00,Lost,983,7
6/11/2014 0:00,17031,6851,1000,6/18/2014 0:00,Lost,918,7
5/29/2015 0:00,39049,5854,1000,6/5/2015 0:00,Lost,1110,7
7/28/2017 0:00,18097,5616,1000,8/4/2017 0:00,Lost,741,7
11/20/2014 0:00,17031,6873,1000,11/27/2014 0:00,Lost,847,7
2/15/2015 0:00,39141,8140,1000,2/22/2015 0:00,Lost,900,7
5/14/2016 0:00,17033,6295,1000,5/21/2016 0:00,Lost,1270,7
11/4/2017 0:00,55003,5054,1000,11/11/2017 0:00,Lost,1034,7
3/16/2017 0:00,18089,4468,1000,3/23/2017 0:00,Lost,1445,7
11/17/2017 0:00,55075,7500,1000,11/24/2017 0:00,Lost,1076,7
12/30/2014 0:00,39009,6467,1000,1/6/2015 0:00,Lost,1213,7
8/19/2014 0:00,39107,1548,1000,8/26/2014 0:00,Lost,809,7
4/12/2016 0:00,12019,7714,1000,4/19/2016 0:00,Lost,1026,7
8/28/2015 0:00,12009,3486,1000,9/4/2015 0:00,Lost,1029,7
12/8/2016 0:00,12071,7448,1000,12/15/2016 0:00,Lost,1026,7
3/2/2016 0:00,28143,7698,1000,3/9/2016 0:00,Lost,1130,7
7/21/2015 0:00,1097,7252,1000,7/28/2015 0:00,Lost,1428,7
4/9/2014 0:00,22057,6699,1000,4/16/2014 0:00,Lost,822,7
7/27/2015 0:00,1097,6939,1000,8/3/2015 0:00,Lost,1302,7
5/8/2018 0:00,22051,3762,1000,5/15/2018 0:00,Lost,912,7
5/10/2017 0:00,12035,4441,1000,5/17/2017 0:00,Lost,1438,7
4/4/2015 0:00,12009,4388,1000,4/11/2015 0:00,Lost,1490,7
3/15/2014 0:00,12095,6098,1000,3/22/2014 0:00,Lost,1361,7
1/2/2014 0:00,12057,8427,1000,1/9/2014 0:00,Lost,936,7
6/16/2017 0:00,12103,7102,1000,6/23/2017 0:00,Lost,988,7
3/9/2014 0:00,12015,1975,1000,3/16/2014 0:00,Lost,1239,7
12/29/2016 0:00,12031,7549,1000,1/5/2017 0:00,Lost,1030,7
10/5/2017 0:00,37025,4415,1000,10/12/2017 0:00,Lost,1465,7
4/15/2015 0:00,13113,2504,1000,4/22/2015 0:00,Lost,754,7
5/25/2016 0:00,13135,5679,1000,6/1/2016 0:00,Lost,1420,7
8/31/2014 0:00,37033,1158,1000,9/7/2014 0:00,Lost,840,7
11/22/2017 0:00,51600,4303,1000,11/29/2017 0:00,Lost,1154,7
9/1/2014 0:00,37099,5812,1000,9/8/2014 0:00,Lost,1340,7
5/20/2017 0:00,51087,6449,1000,5/27/2017 0:00,Lost,1431,7
7/19/2016 0:00,37119,1633,1000,7/26/2016 0:00,Lost,914,7
8/10/2014 0:00,37119,7791,1000,8/17/2014 0:00,Lost,1025,7
1/12/2018 0:00,37035,2748,1000,1/19/2018 0:00,Lost,762,7
8/5/2015 0:00,13059,5796,1000,8/12/2015 0:00,Lost,1143,7
11/20/2014 0:00,13121,6371,1000,11/27/2014 0:00,Lost,1389,7
11/4/2017 0:00,13089,3884,1000,11/11/2017 0:00,Lost,865,7
5/26/2014 0:00,13051,7156,1000,6/2/2014 0:00,Lost,1082,7
3/2/2016 0:00,13135,6013,1000,3/9/2016 0:00,Lost,886,7
9/22/2015 0:00,13033,5126,1000,9/29/2015 0:00,Lost,1039,7
9/3/2014 0:00,48303,5505,1000,9/7/2014 0:00,Lost,1402,4
1/18/2016 0:00,48041,6082,1000,1/22/2016 0:00,Lost,1430,4
12/8/2015 0:00,48439,3955,1000,12/12/2015 0:00,Lost,861,4
4/8/2017 0:00,48091,7570,1000,4/12/2017 0:00,Lost,1080,4
12/9/2014 0:00,48215,1318,1000,12/13/2014 0:00,Lost,1171,4
3/9/2018 0:00,48225,2863,1000,3/13/2018 0:00,Lost,1359,4
6/24/2014 0:00,48427,2786,1000,6/28/2014 0:00,Lost,858,4
4/17/2017 0:00,48201,7202,1000,4/21/2017 0:00,Lost,1099,4
6/14/2017 0:00,48201,6840,1000,6/18/2017 0:00,Lost,1416,4
2/14/2018 0:00,48201,7289,1000,2/18/2018 0:00,Lost,1389,4
5/11/2014 0:00,48453,6266,1000,5/15/2014 0:00,Lost,1284,4
12/20/2015 0:00,48215,5137,1000,12/24/2015 0:00,Lost,1480,4
5/10/2018 0:00,4015,7873,1000,5/14/2018 0:00,Lost,780,4
8/26/2015 0:00,48491,6041,1000,8/30/2015 0:00,Lost,951,4
6/20/2014 0:00,48201,1873,1000,6/24/2014 0:00,Lost,806,4
10/26/2016 0:00,48021,6689,1000,10/30/2016 0:00,Lost,1286,4
5/30/2014 0:00,4025,7640,1000,6/3/2014 0:00,Lost,1239,4
1/22/2017 0:00,48029,4054,1000,1/26/2017 0:00,Lost,1050,4
8/27/2015 0:00,54083,3756,1000,8/31/2015 0:00,Lost,707,4
12/12/2015 0:00,47037,7164,1000,12/16/2015 0:00,Lost,1236,4
7/4/2016 0:00,47131,5422,1000,7/8/2016 0:00,Lost,1091,4
8/22/2014 0:00,21231,6570,1000,8/26/2014 0:00,Lost,730,4
3/14/2015 0:00,5133,8027,1000,3/18/2015 0:00,Lost,1325,4
6/25/2014 0:00,21129,8419,1000,6/29/2014 0:00,Lost,1218,4
3/18/2015 0:00,47037,4136,1000,3/22/2015 0:00,Lost,714,4
9/2/2016 0:00,21067,2072,1000,9/6/2016 0:00,Lost,1297,4
12/13/2017 0:00,54011,4507,1000,12/17/2017 0:00,Lost,1176,4
1/7/2015 0:00,47139,5974,1000,1/11/2015 0:00,Lost,1377,4
6/1/2017 0:00,21041,7766,1000,6/5/2017 0:00,Lost,1426,4
1/8/2015 0:00,21045,3773,1000,1/12/2015 0:00,Lost,1467,4
9/4/2016 0:00,47037,4048,1000,9/8/2016 0:00,Lost,1303,4
3/29/2016 0:00,21009,2577,1000,4/2/2016 0:00,Lost,1266,4
6/17/2014 0:00,54039,8251,1000,6/21/2014 0:00,Lost,728,4
9/7/2017 0:00,47187,3748,1000,9/11/2017 0:00,Lost,1294,4
10/2/2017 0:00,19061,4092,1000,10/6/2017 0:00,Lost,1342,4
5/29/2016 0:00,19155,3150,1000,6/2/2016 0:00,Lost,1134,4
8/21/2017 0:00,29183,4245,1000,8/25/2017 0:00,Lost,940,4
12/20/2017 0:00,20149,7210,1000,12/24/2017 0:00,Lost,1073,4
12/12/2015 0:00,19153,3007,1000,12/16/2015 0:00,Lost,752,4
8/19/2014 0:00,29195,3980,1000,8/23/2014 0:00,Lost,1165,4
8/25/2017 0:00,40099,1281,1000,8/29/2017 0:00,Lost,1266,4
4/5/2017 0:00,20091,2134,1000,4/9/2017 0:00,Lost,1376,4
7/20/2017 0:00,29027,5084,1000,7/24/2017 0:00,Lost,1298,4
5/8/2014 0:00,6025,4677,1000,5/12/2014 0:00,Lost,1293,4
1/12/2014 0:00,32003,8378,1000,1/16/2014 0:00,Lost,1357,4
12/8/2017 0:00,6111,7250,1000,12/12/2017 0:00,Lost,1028,4
8/19/2015 0:00,6085,2714,1000,8/23/2015 0:00,Lost,1210,4
8/18/2015 0:00,6073,8506,1000,8/22/2015 0:00,Lost,1201,4
5/30/2015 0:00,6065,8052,1000,6/3/2015 0:00,Lost,1358,4
12/19/2017 0:00,6085,3061,1000,12/23/2017 0:00,Lost,757,4
1/24/2015 0:00,6073,5645,1000,1/28/2015 0:00,Lost,842,4
8/2/2015 0:00,6073,3762,1000,8/6/2015 0:00,Lost,1038,4
